time,carbon_intensity_forecast,carbon_intensity_actual,carbon_intensity_index
2023-12-12 00:00:00+00:00,140.5,143.0,moderate
2023-12-12 01:00:00+00:00,145.5,129.5,moderate
2023-12-12 02:00:00+00:00,132.0,116.5,low
2023-12-12 03:00:00+00:00,119.5,114.0,low
2023-12-12 04:00:00+00:00,113.5,125.5,low
2023-12-12 05:00:00+00:00,129.5,156.0,moderate
2023-12-12 06:00:00+00:00,176.5,189.5,moderate
2023-12-12 07:00:00+00:00,201.5,209.5,high
2023-12-12 08:00:00+00:00,222.5,213.5,high
2023-12-12 09:00:00+00:00,221.5,216.0,high
2023-12-12 10:00:00+00:00,232.5,211.0,high
2023-12-12 11:00:00+00:00,220.5,215.0,high
2023-12-12 12:00:00+00:00,222.5,224.5,high
2023-12-12 13:00:00+00:00,233.0,234.0,high
2023-12-12 14:00:00+00:00,237.0,235.5,high
2023-12-12 15:00:00+00:00,238.5,244.5,high
2023-12-12 16:00:00+00:00,242.5,243.0,high
2023-12-12 17:00:00+00:00,240.0,241.5,high
2023-12-12 18:00:00+00:00,242.5,244.5,high
2023-12-12 19:00:00+00:00,245.0,234.5,high
2023-12-12 20:00:00+00:00,236.0,213.5,high
2023-12-12 21:00:00+00:00,220.0,190.0,moderate
2023-12-12 22:00:00+00:00,190.0,171.0,moderate
2023-12-12 23:00:00+00:00,166.0,149.0,moderate
2023-12-13 00:00:00+00:00,147.0,142.5,moderate
2023-12-13 01:00:00+00:00,138.0,137.5,moderate
2023-12-13 02:00:00+00:00,133.5,132.0,moderate
2023-12-13 03:00:00+00:00,129.0,131.0,moderate
2023-12-13 04:00:00+00:00,132.5,151.0,moderate
2023-12-13 05:00:00+00:00,155.5,175.5,moderate
2023-12-13 06:00:00+00:00,196.0,214.0,high
2023-12-13 07:00:00+00:00,215.0,220.5,high
2023-12-13 08:00:00+00:00,215.5,226.0,high
2023-12-13 09:00:00+00:00,222.5,224.5,high
2023-12-13 10:00:00+00:00,221.5,221.0,high
2023-12-13 11:00:00+00:00,221.5,217.0,high
2023-12-13 12:00:00+00:00,217.0,215.0,high
2023-12-13 13:00:00+00:00,213.0,212.0,high
2023-12-13 14:00:00+00:00,215.0,213.5,high
2023-12-13 15:00:00+00:00,219.0,215.0,high
2023-12-13 16:00:00+00:00,217.0,215.0,high
2023-12-13 17:00:00+00:00,215.0,216.5,high
2023-12-13 18:00:00+00:00,217.0,223.5,high
2023-12-13 19:00:00+00:00,217.0,214.0,high
2023-12-13 20:00:00+00:00,209.0,198.0,high
2023-12-13 21:00:00+00:00,177.0,174.0,moderate
2023-12-13 22:00:00+00:00,153.0,163.0,moderate
2023-12-13 23:00:00+00:00,138.5,154.5,moderate
2023-12-14 00:00:00+00:00,148.0,157.0,moderate
2023-12-14 01:00:00+00:00,144.0,150.0,moderate
2023-12-14 02:00:00+00:00,149.5,141.0,moderate
2023-12-14 03:00:00+00:00,139.5,148.0,moderate
2023-12-14 04:00:00+00:00,152.5,161.5,moderate
2023-12-14 05:00:00+00:00,184.5,189.5,moderate
2023-12-14 06:00:00+00:00,213.5,226.0,high
2023-12-14 07:00:00+00:00,230.0,230.5,high
2023-12-14 08:00:00+00:00,227.5,230.0,high
2023-12-14 09:00:00+00:00,232.0,227.0,high
2023-12-14 10:00:00+00:00,222.5,223.0,high
2023-12-14 11:00:00+00:00,221.5,217.0,high
2023-12-14 12:00:00+00:00,214.0,220.0,high
2023-12-14 13:00:00+00:00,219.0,225.0,high
2023-12-14 14:00:00+00:00,227.0,225.0,high
2023-12-14 15:00:00+00:00,227.0,224.0,high
2023-12-14 16:00:00+00:00,228.0,223.5,high
2023-12-14 17:00:00+00:00,225.0,227.0,high
2023-12-14 18:00:00+00:00,226.5,236.0,high
2023-12-14 19:00:00+00:00,231.0,233.5,high
2023-12-14 20:00:00+00:00,228.0,222.5,high
2023-12-14 21:00:00+00:00,211.5,197.0,high
2023-12-14 22:00:00+00:00,188.0,159.0,moderate
2023-12-14 23:00:00+00:00,147.0,130.5,moderate
2023-12-15 00:00:00+00:00,134.5,135.5,moderate
2023-12-15 01:00:00+00:00,134.5,123.0,moderate
2023-12-15 02:00:00+00:00,125.0,119.5,low
2023-12-15 03:00:00+00:00,121.0,125.0,moderate
2023-12-15 04:00:00+00:00,125.5,138.0,moderate
2023-12-15 05:00:00+00:00,144.5,170.0,moderate
2023-12-15 06:00:00+00:00,185.5,202.5,high
2023-12-15 07:00:00+00:00,213.0,204.5,high
2023-12-15 08:00:00+00:00,200.5,194.0,moderate
2023-12-15 09:00:00+00:00,194.0,205.5,high
2023-12-15 10:00:00+00:00,200.0,203.5,high
2023-12-15 11:00:00+00:00,199.0,190.5,moderate
2023-12-15 12:00:00+00:00,183.0,194.0,moderate
2023-12-15 13:00:00+00:00,178.0,182.0,moderate
2023-12-15 14:00:00+00:00,175.5,172.5,moderate
2023-12-15 15:00:00+00:00,184.5,172.5,moderate
2023-12-15 16:00:00+00:00,174.5,171.5,moderate
2023-12-15 17:00:00+00:00,171.5,167.5,moderate
2023-12-15 18:00:00+00:00,163.5,152.0,moderate
2023-12-15 19:00:00+00:00,140.0,131.5,moderate
2023-12-15 20:00:00+00:00,123.5,104.0,low
2023-12-15 21:00:00+00:00,101.0,83.5,low
2023-12-15 22:00:00+00:00,84.5,66.5,low
2023-12-15 23:00:00+00:00,63.5,64.5,low
2023-12-16 00:00:00+00:00,64.0,71.0,low
2023-12-16 01:00:00+00:00,68.5,68.0,low
2023-12-16 02:00:00+00:00,65.5,64.0,low
2023-12-16 03:00:00+00:00,62.0,61.5,low
2023-12-16 04:00:00+00:00,60.0,60.0,low
2023-12-16 05:00:00+00:00,61.0,67.0,low
2023-12-16 06:00:00+00:00,67.5,81.5,low
2023-12-16 07:00:00+00:00,80.0,86.5,low
2023-12-16 08:00:00+00:00,78.0,83.0,low
2023-12-16 09:00:00+00:00,79.0,73.5,low
2023-12-16 10:00:00+00:00,78.0,62.0,low
2023-12-16 11:00:00+00:00,62.0,57.5,low
2023-12-16 12:00:00+00:00,74.0,58.0,low
2023-12-16 13:00:00+00:00,58.0,66.5,low
2023-12-16 14:00:00+00:00,65.5,79.0,low
2023-12-16 15:00:00+00:00,83.0,89.5,low
2023-12-16 16:00:00+00:00,92.5,88.5,low
2023-12-16 17:00:00+00:00,87.0,83.5,low
2023-12-16 18:00:00+00:00,80.0,80.5,low
2023-12-16 19:00:00+00:00,75.0,74.0,low
2023-12-16 20:00:00+00:00,70.5,69.0,low
2023-12-16 21:00:00+00:00,60.5,64.5,low
2023-12-16 22:00:00+00:00,73.5,66.5,low
2023-12-16 23:00:00+00:00,67.0,59.0,low
2023-12-17 00:00:00+00:00,56.0,62.5,low
2023-12-17 01:00:00+00:00,71.5,57.0,low
2023-12-17 02:00:00+00:00,56.0,55.0,low
2023-12-17 03:00:00+00:00,57.0,53.0,low
2023-12-17 04:00:00+00:00,53.0,52.0,low
2023-12-17 05:00:00+00:00,53.0,54.5,low
2023-12-17 06:00:00+00:00,53.0,65.5,low
2023-12-17 07:00:00+00:00,62.0,65.5,low
2023-12-17 08:00:00+00:00,60.5,68.0,low
2023-12-17 09:00:00+00:00,64.0,62.0,low
2023-12-17 10:00:00+00:00,60.0,55.5,low
2023-12-17 11:00:00+00:00,53.0,54.0,low
2023-12-17 12:00:00+00:00,57.0,50.0,low
2023-12-17 13:00:00+00:00,50.0,50.0,low
2023-12-17 14:00:00+00:00,48.5,58.5,low
2023-12-17 15:00:00+00:00,56.5,72.5,low
2023-12-17 16:00:00+00:00,71.5,81.5,low
2023-12-17 17:00:00+00:00,80.0,80.5,low
2023-12-17 18:00:00+00:00,77.0,75.5,low
2023-12-17 19:00:00+00:00,75.5,74.5,low
2023-12-17 20:00:00+00:00,74.0,73.0,low
2023-12-17 21:00:00+00:00,71.5,60.5,low
2023-12-17 22:00:00+00:00,62.5,60.5,low
2023-12-17 23:00:00+00:00,59.5,61.5,low
2023-12-18 00:00:00+00:00,60.5,65.0,low
2023-12-18 01:00:00+00:00,61.5,64.5,low
2023-12-18 02:00:00+00:00,63.5,63.5,low
2023-12-18 03:00:00+00:00,62.5,64.0,low
2023-12-18 04:00:00+00:00,63.5,69.5,low
2023-12-18 05:00:00+00:00,67.5,92.0,low
2023-12-18 06:00:00+00:00,86.0,126.0,moderate
2023-12-18 07:00:00+00:00,120.0,136.5,moderate
2023-12-18 08:00:00+00:00,141.5,134.0,moderate
2023-12-18 09:00:00+00:00,127.5,129.5,moderate
2023-12-18 10:00:00+00:00,119.0,127.5,moderate
2023-12-18 11:00:00+00:00,118.5,127.0,moderate
2023-12-18 12:00:00+00:00,125.0,126.0,moderate
2023-12-18 13:00:00+00:00,125.5,129.5,moderate
2023-12-18 14:00:00+00:00,127.5,126.0,moderate
2023-12-18 15:00:00+00:00,131.0,129.0,moderate
2023-12-18 16:00:00+00:00,137.5,136.0,moderate
2023-12-18 17:00:00+00:00,138.0,131.0,moderate
2023-12-18 18:00:00+00:00,127.5,129.0,moderate
2023-12-18 19:00:00+00:00,123.0,118.5,moderate
2023-12-18 20:00:00+00:00,116.0,105.0,low
2023-12-18 21:00:00+00:00,102.5,90.0,low
2023-12-18 22:00:00+00:00,94.0,72.5,low
2023-12-18 23:00:00+00:00,72.5,72.5,low
2023-12-19 00:00:00+00:00,71.0,80.0,low
2023-12-19 01:00:00+00:00,77.5,78.0,low
2023-12-19 02:00:00+00:00,75.0,80.5,low
2023-12-19 03:00:00+00:00,76.0,81.0,low
2023-12-19 04:00:00+00:00,76.0,90.0,low
2023-12-19 05:00:00+00:00,89.5,120.5,low
2023-12-19 06:00:00+00:00,130.5,148.0,moderate
2023-12-19 07:00:00+00:00,151.0,154.0,moderate
2023-12-19 08:00:00+00:00,145.0,145.5,moderate
2023-12-19 09:00:00+00:00,145.5,147.0,moderate
2023-12-19 10:00:00+00:00,140.0,157.0,moderate
2023-12-19 11:00:00+00:00,139.5,148.0,moderate
2023-12-19 12:00:00+00:00,138.0,140.0,moderate
2023-12-19 13:00:00+00:00,134.5,141.0,moderate
2023-12-19 14:00:00+00:00,130.0,139.0,moderate
2023-12-19 15:00:00+00:00,137.0,139.5,moderate
2023-12-19 16:00:00+00:00,147.5,135.0,moderate
2023-12-19 17:00:00+00:00,131.5,123.5,moderate
2023-12-19 18:00:00+00:00,112.0,116.5,low
2023-12-19 19:00:00+00:00,111.0,103.5,low
2023-12-19 20:00:00+00:00,103.5,78.0,low
2023-12-19 21:00:00+00:00,88.0,57.5,low
2023-12-19 22:00:00+00:00,74.0,56.0,low
2023-12-19 23:00:00+00:00,57.5,56.5,low
2023-12-20 00:00:00+00:00,58.5,61.5,low
2023-12-20 01:00:00+00:00,61.5,60.5,low
2023-12-20 02:00:00+00:00,60.5,54.0,low
2023-12-20 03:00:00+00:00,56.0,48.0,low
2023-12-20 04:00:00+00:00,50.5,49.5,low
2023-12-20 05:00:00+00:00,49.5,54.5,low
2023-12-20 06:00:00+00:00,59.5,64.0,low
2023-12-20 07:00:00+00:00,66.0,65.5,low
2023-12-20 08:00:00+00:00,62.5,54.5,low
2023-12-20 09:00:00+00:00,56.5,50.0,low
2023-12-20 10:00:00+00:00,53.0,50.5,low
2023-12-20 11:00:00+00:00,50.5,44.0,low
2023-12-20 12:00:00+00:00,44.5,39.0,low
2023-12-20 13:00:00+00:00,38.0,42.0,very low
2023-12-20 14:00:00+00:00,39.0,46.0,low
2023-12-20 15:00:00+00:00,47.5,51.5,low
2023-12-20 16:00:00+00:00,50.5,58.5,low
2023-12-20 17:00:00+00:00,56.5,58.5,low
2023-12-20 18:00:00+00:00,58.5,52.0,low
2023-12-20 19:00:00+00:00,51.0,47.0,low
2023-12-20 20:00:00+00:00,48.0,50.0,low
2023-12-20 21:00:00+00:00,52.0,49.5,low
2023-12-20 22:00:00+00:00,54.0,46.0,low
2023-12-20 23:00:00+00:00,46.0,47.0,low
2023-12-21 00:00:00+00:00,47.5,48.0,low
2023-12-21 01:00:00+00:00,46.5,45.0,low
2023-12-21 02:00:00+00:00,45.0,39.5,low
2023-12-21 03:00:00+00:00,39.0,48.0,low
2023-12-21 04:00:00+00:00,46.5,42.5,low
2023-12-21 05:00:00+00:00,43.0,42.5,low
2023-12-21 06:00:00+00:00,42.5,44.5,low
2023-12-21 07:00:00+00:00,47.5,40.5,low
2023-12-21 08:00:00+00:00,40.0,41.5,low
2023-12-21 09:00:00+00:00,37.0,46.0,low
2023-12-21 10:00:00+00:00,42.5,52.5,low
2023-12-21 11:00:00+00:00,52.0,53.0,low
2023-12-21 12:00:00+00:00,56.5,53.5,low
2023-12-21 13:00:00+00:00,53.5,59.5,low
2023-12-21 14:00:00+00:00,56.0,61.5,low
2023-12-21 15:00:00+00:00,59.5,58.0,low
2023-12-21 16:00:00+00:00,61.0,63.5,low
2023-12-21 17:00:00+00:00,60.5,53.5,low
2023-12-21 18:00:00+00:00,51.0,46.5,low
2023-12-21 19:00:00+00:00,45.5,42.5,low
2023-12-21 20:00:00+00:00,45.5,36.5,very low
2023-12-21 21:00:00+00:00,42.0,38.0,very low
2023-12-21 22:00:00+00:00,41.5,36.0,very low
2023-12-21 23:00:00+00:00,37.5,36.0,very low
2023-12-22 00:00:00+00:00,36.0,38.0,very low
2023-12-22 01:00:00+00:00,37.0,37.5,very low
2023-12-22 02:00:00+00:00,37.0,38.0,very low
2023-12-22 03:00:00+00:00,37.0,39.5,very low
2023-12-22 04:00:00+00:00,38.0,39.0,very low
2023-12-22 05:00:00+00:00,38.0,37.5,very low
2023-12-22 06:00:00+00:00,39.0,38.5,low
2023-12-22 07:00:00+00:00,36.5,40.0,low
2023-12-22 08:00:00+00:00,37.5,45.0,low
2023-12-22 09:00:00+00:00,39.5,49.0,low
2023-12-22 10:00:00+00:00,45.0,53.5,low
2023-12-22 11:00:00+00:00,47.0,62.5,low
2023-12-22 12:00:00+00:00,53.5,63.5,low
2023-12-22 13:00:00+00:00,59.5,65.0,low
2023-12-22 14:00:00+00:00,62.0,56.0,low
2023-12-22 15:00:00+00:00,57.0,60.5,low
2023-12-22 16:00:00+00:00,60.0,70.0,low
2023-12-22 17:00:00+00:00,67.5,66.5,low
2023-12-22 18:00:00+00:00,62.0,61.0,low
2023-12-22 19:00:00+00:00,59.0,61.5,low
2023-12-22 20:00:00+00:00,61.5,54.5,low
2023-12-22 21:00:00+00:00,54.5,45.5,low
2023-12-22 22:00:00+00:00,44.0,44.5,low
2023-12-22 23:00:00+00:00,43.5,50.0,low
2023-12-23 00:00:00+00:00,45.5,52.0,low
2023-12-23 01:00:00+00:00,49.0,48.0,low
2023-12-23 02:00:00+00:00,46.5,46.5,low
2023-12-23 03:00:00+00:00,45.5,48.5,low
2023-12-23 04:00:00+00:00,47.5,46.5,low
2023-12-23 05:00:00+00:00,47.5,45.5,low
2023-12-23 06:00:00+00:00,44.5,45.0,low
2023-12-23 07:00:00+00:00,44.5,45.0,low
2023-12-23 08:00:00+00:00,42.5,41.5,low
2023-12-23 09:00:00+00:00,37.5,35.5,very low
2023-12-23 10:00:00+00:00,32.5,31.0,very low
2023-12-23 11:00:00+00:00,29.5,31.0,very low
2023-12-23 12:00:00+00:00,27.5,34.0,very low
2023-12-23 13:00:00+00:00,33.5,35.0,very low
