time,cost_p_per_kwh
2024-04-03 00:00:00+00:00,10.479
2024-04-03 01:00:00+00:00,10.069500000000001
2024-04-03 02:00:00+00:00,9.387
2024-04-03 03:00:00+00:00,8.693999999999999
2024-04-03 04:00:00+00:00,10.668
2024-04-03 05:00:00+00:00,14.469000000000001
2024-04-03 06:00:00+00:00,15.309000000000001
2024-04-03 07:00:00+00:00,16.579500000000003
2024-04-03 08:00:00+00:00,16.4325
2024-04-03 09:00:00+00:00,13.398
2024-04-03 10:00:00+00:00,12.400500000000001
2024-04-03 11:00:00+00:00,12.442499999999999
2024-04-03 12:00:00+00:00,10.3005
2024-04-03 13:00:00+00:00,9.135
2024-04-03 14:00:00+00:00,10.0695
2024-04-03 15:00:00+00:00,24.8955
2024-04-03 16:00:00+00:00,27.09
2024-04-03 17:00:00+00:00,30.240000000000002
2024-04-03 18:00:00+00:00,16.716
2024-04-03 19:00:00+00:00,14.783999999999999
2024-04-03 20:00:00+00:00,12.998999999999999
2024-04-03 21:00:00+00:00,10.3845
2024-04-03 22:00:00+00:00,8.904
2024-04-03 23:00:00+00:00,8.358
2024-04-04 00:00:00+00:00,8.883
2024-04-04 01:00:00+00:00,8.6835
2024-04-04 02:00:00+00:00,8.547
2024-04-04 03:00:00+00:00,8.526
2024-04-04 04:00:00+00:00,10.6995
2024-04-04 05:00:00+00:00,13.167
2024-04-04 06:00:00+00:00,14.364
2024-04-04 07:00:00+00:00,15.54
2024-04-04 08:00:00+00:00,15.508500000000002
2024-04-04 09:00:00+00:00,14.0595
2024-04-04 10:00:00+00:00,13.692
2024-04-04 11:00:00+00:00,12.768
2024-04-04 12:00:00+00:00,12.316500000000001
2024-04-04 13:00:00+00:00,11.76
2024-04-04 14:00:00+00:00,12.285
2024-04-04 15:00:00+00:00,25.808999999999997
2024-04-04 16:00:00+00:00,29.295
2024-04-04 17:00:00+00:00,29.893500000000003
2024-04-04 18:00:00+00:00,16.421999999999997
2024-04-04 19:00:00+00:00,13.8705
2024-04-04 20:00:00+00:00,13.566
2024-04-04 21:00:00+00:00,10.373999999999999
2024-04-04 22:00:00+00:00,12.495
2024-04-04 23:00:00+00:00,9.156
2024-04-05 00:00:00+00:00,6.17925
2024-04-05 01:00:00+00:00,3.885
2024-04-05 02:00:00+00:00,3.003
2024-04-05 03:00:00+00:00,3.822
