time,temperature,apparent_temperature,carbon_intensity_forecast,carbon_intensity_actual,carbon_intensity_index,humidity,windspeed,cost_p_per_kwh
2022-11-25 00:00:00+00:00,7.9,5.8,130.5,94.5,low,95.0,9.9,29.316
2022-11-25 01:00:00+00:00,7.9,5.8,126.0,93.0,low,95.0,9.9,29.589
2022-11-25 02:00:00+00:00,7.9,5.8,119.5,84.5,low,95.0,9.9,28.6545
2022-11-25 03:00:00+00:00,7.9,5.8,118.5,77.0,low,95.0,9.9,29.148
2022-11-25 04:00:00+00:00,7.9,5.8,124.5,87.0,low,95.0,9.9,29.4
2022-11-25 05:00:00+00:00,7.9,5.8,131.5,100.5,low,95.0,9.9,29.3685
2022-11-25 06:00:00+00:00,7.9,5.8,139.5,127.0,low,95.0,9.9,31.248
2022-11-25 07:00:00+00:00,7.9,5.8,154.5,150.5,moderate,95.0,9.9,33.123615
2022-11-25 08:00:00+00:00,7.9,5.8,153.0,153.5,moderate,95.0,9.9,35.79723
2022-11-25 09:00:00+00:00,7.9,5.8,147.0,155.0,moderate,95.0,9.9,34.488615
2022-11-25 10:00:00+00:00,7.9,5.8,144.5,148.5,moderate,95.0,9.9,30.87
2022-11-25 11:00:00+00:00,7.9,5.8,142.5,149.0,moderate,95.0,9.9,29.82
2022-11-25 12:00:00+00:00,7.9,5.8,143.5,154.5,moderate,95.0,9.9,29.925
2022-11-25 13:00:00+00:00,7.9,5.8,158.0,157.0,moderate,95.0,9.9,30.282
2022-11-25 14:00:00+00:00,7.9,5.8,169.0,162.0,moderate,95.0,9.9,31.92
2022-11-25 15:00:00+00:00,7.9,5.8,184.0,179.0,moderate,95.0,9.9,31.29
2022-11-25 16:00:00+00:00,7.9,5.8,212.0,185.5,moderate,95.0,9.9,39.3195075
2022-11-25 17:00:00+00:00,7.9,5.8,201.5,180.5,moderate,95.0,9.9,35.8965075
2022-11-25 18:00:00+00:00,7.9,5.8,175.5,178.5,moderate,95.0,9.9,35.79723
2022-11-25 19:00:00+00:00,7.9,5.8,176.0,174.0,moderate,95.0,9.9,35.538615
2022-11-25 20:00:00+00:00,7.9,5.8,171.5,177.0,moderate,95.0,9.9,33.186615
2022-11-25 21:00:00+00:00,7.9,5.8,172.0,179.5,moderate,95.0,9.9,29.3265
2022-11-25 22:00:00+00:00,7.9,5.8,174.5,173.5,moderate,95.0,9.9,29.0535
2022-11-25 23:00:00+00:00,7.9,5.8,162.0,161.0,moderate,95.0,9.9,30.45
2022-11-26 00:00:00+00:00,7.9,5.8,157.5,165.0,moderate,95.0,9.9,27.6885
2022-11-26 01:00:00+00:00,7.9,5.8,150.5,155.5,moderate,95.0,9.9,29.421
2022-11-26 02:00:00+00:00,7.9,5.8,134.0,146.5,moderate,95.0,9.9,26.733
2022-11-26 03:00:00+00:00,7.9,5.8,127.5,151.5,moderate,95.0,9.9,27.3
