time,temperature,apparent_temperature,carbon_intensity_forecast,carbon_intensity_actual,carbon_intensity_index,humidity,windspeed,cost_p_per_kwh,temperature_forecast,humidity_forecast,windspeed_forecast,sw_radiation_forecast,cloud_cover_forecast,precipitation_forecast,apparent_temperature_forecast
2022-11-25 00:00:00+00:00,7.9,5.8,130.5,94.5,low,95.0,9.9,29.316,9.2,84,10.8,0.0,43,0.0,6.8
2022-11-25 01:00:00+00:00,7.9,5.8,126.0,93.0,low,95.0,9.9,29.589,9.2,83,11.9,0.0,43,0.0,6.6
2022-11-25 02:00:00+00:00,7.9,5.8,119.5,84.5,low,95.0,9.9,28.6545,9.2,81,14.8,0.0,44,0.0,6.1
2022-11-25 03:00:00+00:00,7.9,5.8,118.5,77.0,low,95.0,9.9,29.148,9.0,80,15.3,0.0,31,0.0,5.7
2022-11-25 04:00:00+00:00,7.9,5.8,124.5,87.0,low,95.0,9.9,29.4,8.7,82,14.1,0.0,60,0.0,5.7
2022-11-25 05:00:00+00:00,7.9,5.8,131.5,100.5,low,95.0,9.9,29.3685,8.5,83,11.8,0.0,60,0.0,5.7
2022-11-25 06:00:00+00:00,7.9,5.8,139.5,127.0,low,95.0,9.9,31.248,8.7,84,13.3,0.0,77,0.0,5.8
2022-11-25 07:00:00+00:00,7.9,5.8,154.5,150.5,moderate,95.0,9.9,33.123615,8.4,84,13.9,0.0,46,0.2,5.4
2022-11-25 08:00:00+00:00,7.9,5.8,153.0,153.5,moderate,95.0,9.9,35.79723,7.9,86,11.8,4.0,7,0.0,5.1
2022-11-25 09:00:00+00:00,7.9,5.8,147.0,155.0,moderate,95.0,9.9,34.488615,8.2,85,11.8,69.0,46,0.0,5.4
2022-11-25 10:00:00+00:00,7.9,5.8,144.5,148.5,moderate,95.0,9.9,30.87,8.7,82,13.6,166.0,0,0.0,5.7
2022-11-25 11:00:00+00:00,7.9,5.8,142.5,149.0,moderate,95.0,9.9,29.82,9.7,77,11.5,242.0,0,0.0,7.0
2022-11-25 12:00:00+00:00,7.9,5.8,143.5,154.5,moderate,95.0,9.9,29.925,11.2,69,11.0,276.0,0,0.0,8.5
2022-11-25 13:00:00+00:00,7.9,5.8,158.0,157.0,moderate,95.0,9.9,30.282,11.8,68,12.5,265.0,29,0.0,9.0
2022-11-25 14:00:00+00:00,7.9,5.8,169.0,162.0,moderate,95.0,9.9,31.92,11.8,66,14.6,206.0,39,0.0,8.6
2022-11-25 15:00:00+00:00,7.9,5.8,184.0,179.0,moderate,95.0,9.9,31.29,11.7,63,12.1,121.0,0,0.0,8.7
2022-11-25 16:00:00+00:00,7.9,5.8,212.0,185.5,moderate,95.0,9.9,39.3195075,10.7,71,9.0,29.0,0,0.0,8.4
2022-11-25 17:00:00+00:00,7.9,5.8,201.5,180.5,moderate,95.0,9.9,35.8965075,9.8,78,9.7,0.0,0,0.0,7.4
2022-11-25 18:00:00+00:00,7.9,5.8,175.5,178.5,moderate,95.0,9.9,35.79723,9.0,80,10.2,0.0,0,0.0,6.5
2022-11-25 19:00:00+00:00,7.9,5.8,176.0,174.0,moderate,95.0,9.9,35.538615,8.8,82,9.2,0.0,0,0.0,6.4
2022-11-25 20:00:00+00:00,7.9,5.8,171.5,177.0,moderate,95.0,9.9,33.186615,8.9,81,9.7,0.0,0,0.0,6.5
2022-11-25 21:00:00+00:00,7.9,5.8,172.0,179.5,moderate,95.0,9.9,29.3265,8.7,85,10.8,0.0,0,0.0,6.2
2022-11-25 22:00:00+00:00,7.9,5.8,174.5,173.5,moderate,95.0,9.9,29.0535,8.4,88,9.3,0.0,50,0.0,6.2
2022-11-25 23:00:00+00:00,7.9,5.8,162.0,161.0,moderate,95.0,9.9,30.45,8.0,90,7.7,0.0,0,0.0,6.0
2022-11-26 00:00:00+00:00,7.9,5.8,157.5,165.0,moderate,95.0,9.9,27.6885,7.8,90,6.7,0.0,96,0.0,5.9
2022-11-26 01:00:00+00:00,7.9,5.8,150.5,155.5,moderate,95.0,9.9,29.421,7.6,90,7.1,0.0,37,0.0,5.6
2022-11-26 02:00:00+00:00,7.9,5.8,134.0,146.5,moderate,95.0,9.9,26.733,7.5,90,7.0,0.0,100,0.0,5.5
2022-11-26 03:00:00+00:00,7.9,5.8,127.5,151.5,moderate,95.0,9.9,27.3,7.9,90,5.6,0.0,100,0.0,6.1
2022-11-26 04:00:00+00:00,7.9,5.8,119.0,151.5,moderate,95.0,9.9,27.72,8.0,91,5.0,0.0,100,0.0,6.5
2022-11-26 05:00:00+00:00,7.9,5.8,143.5,154.5,moderate,95.0,9.9,27.3,8.3,90,5.7,0.0,100,0.0,6.7
2022-11-26 06:00:00+00:00,7.9,5.8,140.5,156.5,moderate,95.0,9.9,28.875,8.3,90,5.9,0.0,100,0.0,6.7
2022-11-26 07:00:00+00:00,7.9,5.8,144.0,174.5,moderate,95.0,9.9,31.101,8.4,91,6.0,0.0,97,0.0,6.7
2022-11-26 08:00:00+00:00,7.9,5.8,166.0,176.0,moderate,95.0,9.9,31.332,8.6,90,7.2,3.0,100,0.0,6.8
2022-11-26 09:00:00+00:00,7.9,5.8,166.0,172.5,moderate,95.0,9.9,30.45,9.1,92,9.4,55.0,92,0.0,7.2
2022-11-26 10:00:00+00:00,7.9,5.8,153.0,165.5,moderate,95.0,9.9,30.03,10.2,88,9.0,142.0,82,0.0,8.5
2022-11-26 11:00:00+00:00,7.9,5.8,140.0,156.0,moderate,95.0,9.9,31.647,11.7,78,13.5,211.0,54,0.0,9.3
2022-11-26 12:00:00+00:00,7.9,5.8,129.0,155.5,moderate,95.0,9.9,31.437,12.4,70,16.3,225.0,98,0.0,9.3
2022-11-26 13:00:00+00:00,7.9,5.8,132.5,149.0,moderate,95.0,9.9,30.408,12.5,68,17.8,206.0,100,0.0,9.1
2022-11-26 14:00:00+00:00,7.9,5.8,134.0,149.0,moderate,95.0,9.9,30.009,12.1,71,16.9,134.0,100,0.0,8.9
2022-11-26 15:00:00+00:00,7.9,5.8,144.5,149.5,moderate,95.0,9.9,28.6755,12.1,77,13.1,65.0,100,0.0,9.8
2022-11-26 16:00:00+00:00,7.9,5.8,142.0,151.5,moderate,95.0,9.9,35.79723,11.7,80,13.7,11.0,100,0.0,9.3
2022-11-26 17:00:00+00:00,7.9,5.8,144.0,148.5,moderate,95.0,9.9,35.79723,11.4,81,13.3,0.0,100,0.0,9.1
2022-11-26 18:00:00+00:00,7.9,5.8,138.5,145.0,moderate,95.0,9.9,35.79723,11.1,84,10.7,0.0,100,0.0,9.1
2022-11-26 19:00:00+00:00,7.9,5.8,137.5,128.5,moderate,95.0,9.9,33.012,11.1,84,15.8,0.0,100,0.2,8.4
2022-11-26 20:00:00+00:00,7.9,5.8,122.5,120.5,low,95.0,9.9,30.051,11.0,84,16.5,0.0,100,0.1,8.2
2022-11-26 21:00:00+00:00,7.9,5.8,113.0,109.0,low,95.0,9.9,29.505000000000003,11.3,84,14.0,0.0,100,0.5,8.9
