time,temperature_forecast,humidity_forecast,windspeed_forecast,sw_radiation_forecast,cloud_cover_forecast,precipitation_forecast,apparent_temperature_forecast
2022-11-25 00:00:00+00:00,9.2,84,10.8,0.0,43,0.0,6.8
2022-11-25 01:00:00+00:00,9.2,83,11.9,0.0,43,0.0,6.6
2022-11-25 02:00:00+00:00,9.2,81,14.8,0.0,44,0.0,6.1
2022-11-25 03:00:00+00:00,9.0,80,15.3,0.0,31,0.0,5.7
2022-11-25 04:00:00+00:00,8.7,82,14.1,0.0,60,0.0,5.7
2022-11-25 05:00:00+00:00,8.5,83,11.8,0.0,60,0.0,5.7
2022-11-25 06:00:00+00:00,8.7,84,13.3,0.0,77,0.0,5.8
2022-11-25 07:00:00+00:00,8.4,84,13.9,0.0,46,0.2,5.4
2022-11-25 08:00:00+00:00,7.9,86,11.8,4.0,7,0.0,5.1
2022-11-25 09:00:00+00:00,8.2,85,11.8,69.0,46,0.0,5.4
2022-11-25 10:00:00+00:00,8.7,82,13.6,166.0,0,0.0,5.7
2022-11-25 11:00:00+00:00,9.7,77,11.5,242.0,0,0.0,7.0
2022-11-25 12:00:00+00:00,11.2,69,11.0,276.0,0,0.0,8.5
2022-11-25 13:00:00+00:00,11.8,68,12.5,265.0,29,0.0,9.0
2022-11-25 14:00:00+00:00,11.8,66,14.6,206.0,39,0.0,8.6
2022-11-25 15:00:00+00:00,11.7,63,12.1,121.0,0,0.0,8.7
2022-11-25 16:00:00+00:00,10.7,71,9.0,29.0,0,0.0,8.4
2022-11-25 17:00:00+00:00,9.8,78,9.7,0.0,0,0.0,7.4
2022-11-25 18:00:00+00:00,9.0,80,10.2,0.0,0,0.0,6.5
2022-11-25 19:00:00+00:00,8.8,82,9.2,0.0,0,0.0,6.4
2022-11-25 20:00:00+00:00,8.9,81,9.7,0.0,0,0.0,6.5
2022-11-25 21:00:00+00:00,8.7,85,10.8,0.0,0,0.0,6.2
2022-11-25 22:00:00+00:00,8.4,88,9.3,0.0,50,0.0,6.2
2022-11-25 23:00:00+00:00,8.0,90,7.7,0.0,0,0.0,6.0
2022-11-26 00:00:00+00:00,7.8,90,6.7,0.0,96,0.0,5.9
2022-11-26 01:00:00+00:00,7.6,90,7.1,0.0,37,0.0,5.6
2022-11-26 02:00:00+00:00,7.5,90,7.0,0.0,100,0.0,5.5
2022-11-26 03:00:00+00:00,7.9,90,5.6,0.0,100,0.0,6.1
2022-11-26 04:00:00+00:00,8.0,91,5.0,0.0,100,0.0,6.5
2022-11-26 05:00:00+00:00,8.3,90,5.7,0.0,100,0.0,6.7
2022-11-26 06:00:00+00:00,8.3,90,5.9,0.0,100,0.0,6.7
2022-11-26 07:00:00+00:00,8.4,91,6.0,0.0,97,0.0,6.7
2022-11-26 08:00:00+00:00,8.6,90,7.2,3.0,100,0.0,6.8
2022-11-26 09:00:00+00:00,9.1,92,9.4,55.0,92,0.0,7.2
2022-11-26 10:00:00+00:00,10.2,88,9.0,142.0,82,0.0,8.5
2022-11-26 11:00:00+00:00,11.7,78,13.5,211.0,54,0.0,9.3
2022-11-26 12:00:00+00:00,12.4,70,16.3,225.0,98,0.0,9.3
2022-11-26 13:00:00+00:00,12.5,68,17.8,206.0,100,0.0,9.1
2022-11-26 14:00:00+00:00,12.1,71,16.9,134.0,100,0.0,8.9
2022-11-26 15:00:00+00:00,12.1,77,13.1,65.0,100,0.0,9.8
2022-11-26 16:00:00+00:00,11.7,80,13.7,11.0,100,0.0,9.3
2022-11-26 17:00:00+00:00,11.4,81,13.3,0.0,100,0.0,9.1
2022-11-26 18:00:00+00:00,11.1,84,10.7,0.0,100,0.0,9.1
2022-11-26 19:00:00+00:00,11.1,84,15.8,0.0,100,0.2,8.4
2022-11-26 20:00:00+00:00,11.0,84,16.5,0.0,100,0.1,8.2
2022-11-26 21:00:00+00:00,11.3,84,14.0,0.0,100,0.5,8.9
2022-11-26 22:00:00+00:00,11.7,84,17.7,0.0,100,0.0,8.9
2022-11-26 23:00:00+00:00,11.7,84,23.4,0.0,100,0.0,8.0
2022-11-27 00:00:00+00:00,11.3,86,20.7,0.0,100,0.6,8.1
2022-11-27 01:00:00+00:00,11.1,84,23.5,0.0,100,0.5,7.3
2022-11-27 02:00:00+00:00,10.9,87,21.4,0.0,100,0.9,7.5
2022-11-27 03:00:00+00:00,11.2,89,18.0,0.0,100,0.6,8.4
2022-11-27 04:00:00+00:00,11.7,90,17.1,0.0,100,0.7,9.3
2022-11-27 05:00:00+00:00,12.0,89,13.7,0.0,100,0.3,10.1
2022-11-27 06:00:00+00:00,11.6,90,14.2,0.0,97,0.6,9.6
2022-11-27 07:00:00+00:00,11.7,92,12.2,0.0,100,0.4,10.1
2022-11-27 08:00:00+00:00,11.8,95,8.4,1.0,100,0.9,10.9
2022-11-27 09:00:00+00:00,11.5,94,5.1,14.0,100,0.3,10.9
2022-11-27 10:00:00+00:00,11.7,95,5.7,27.0,100,0.5,11.2
2022-11-27 11:00:00+00:00,12.1,94,8.0,46.0,100,0.6,11.3
2022-11-27 12:00:00+00:00,12.6,90,8.5,52.0,100,0.6,11.7
2022-11-27 13:00:00+00:00,13.1,88,7.2,87.0,100,0.0,12.5
2022-11-27 14:00:00+00:00,12.7,92,5.7,23.0,100,0.8,12.3
2022-11-27 15:00:00+00:00,12.8,92,5.8,16.0,100,0.9,12.5
2022-11-27 16:00:00+00:00,12.4,93,6.2,6.0,100,0.5,12.0
2022-11-27 17:00:00+00:00,12.0,93,4.1,0.0,100,0.9,11.7
2022-11-27 18:00:00+00:00,11.1,92,4.3,0.0,100,0.2,10.5
2022-11-27 19:00:00+00:00,10.9,93,2.8,0.0,100,0.1,10.4
2022-11-27 20:00:00+00:00,10.4,93,3.6,0.0,100,0.1,9.7
2022-11-27 21:00:00+00:00,10.3,88,3.5,0.0,100,0.0,9.4
2022-11-27 22:00:00+00:00,9.8,92,5.2,0.0,100,0.0,8.7
2022-11-27 23:00:00+00:00,9.3,94,4.2,0.0,100,0.0,8.3
2022-11-28 00:00:00+00:00,9.2,96,6.6,0.0,100,0.0,7.9
2022-11-28 01:00:00+00:00,8.7,95,5.8,0.0,100,0.0,7.3
2022-11-28 02:00:00+00:00,8.3,92,5.9,0.0,100,0.0,6.7
2022-11-28 03:00:00+00:00,7.5,90,5.7,0.0,29,0.0,5.7
2022-11-28 04:00:00+00:00,7.3,90,5.7,0.0,100,0.0,5.5
2022-11-28 05:00:00+00:00,7.1,91,5.5,0.0,100,0.0,5.2
2022-11-28 06:00:00+00:00,6.4,94,3.6,0.0,0,0.0,4.8
2022-11-28 07:00:00+00:00,6.1,94,3.2,0.0,0,0.0,4.4
2022-11-28 08:00:00+00:00,5.6,93,4.0,3.0,32,0.0,3.7
2022-11-28 09:00:00+00:00,6.4,92,3.5,46.0,63,0.0,4.8
2022-11-28 10:00:00+00:00,8.0,91,3.9,111.0,99,0.0,6.6
2022-11-28 11:00:00+00:00,9.3,87,3.9,155.0,100,0.0,8.1
2022-11-28 12:00:00+00:00,10.5,82,5.4,137.0,100,0.0,9.1
2022-11-28 13:00:00+00:00,10.9,77,5.6,126.0,100,0.0,9.3
2022-11-28 14:00:00+00:00,10.4,84,1.8,34.0,100,0.1,9.6
2022-11-28 15:00:00+00:00,10.1,88,3.1,16.0,100,0.3,9.2
2022-11-28 16:00:00+00:00,9.4,92,2.2,11.0,100,0.1,8.7
2022-11-28 17:00:00+00:00,8.9,94,1.5,0.0,100,0.0,8.2
2022-11-28 18:00:00+00:00,8.5,95,2.7,0.0,100,0.0,7.5
2022-11-28 19:00:00+00:00,8.2,96,3.3,0.0,100,0.1,7.2
2022-11-28 20:00:00+00:00,8.3,96,3.9,0.0,100,0.2,7.2
2022-11-28 21:00:00+00:00,8.0,96,3.4,0.0,100,0.7,6.9
2022-11-28 22:00:00+00:00,7.9,95,5.4,0.0,95,0.3,6.4
2022-11-28 23:00:00+00:00,7.9,92,4.7,0.0,97,0.0,6.4
2022-11-29 00:00:00+00:00,7.3,96,4.9,0.0,99,0.0,5.7
2022-11-29 01:00:00+00:00,6.9,100,8.9,0.0,100,0.0,4.8
2022-11-29 02:00:00+00:00,7.5,96,6.6,0.0,100,0.0,5.7
2022-11-29 03:00:00+00:00,7.2,99,8.0,0.0,100,0.0,5.3
2022-11-29 04:00:00+00:00,7.3,93,6.6,0.0,100,0.0,5.4
2022-11-29 05:00:00+00:00,7.5,93,7.2,0.0,100,0.0,5.5
2022-11-29 06:00:00+00:00,6.9,94,5.8,0.0,100,0.0,5.1
2022-11-29 07:00:00+00:00,6.8,94,4.2,0.0,100,0.0,5.2
2022-11-29 08:00:00+00:00,6.8,93,5.5,1.0,100,0.0,5.0
2022-11-29 09:00:00+00:00,6.6,93,6.5,23.0,100,0.0,4.5
2022-11-29 10:00:00+00:00,6.9,91,6.6,46.0,100,0.0,4.8
2022-11-29 11:00:00+00:00,7.2,87,4.8,100.0,100,0.0,5.4
2022-11-29 12:00:00+00:00,7.0,89,4.2,99.0,100,0.0,5.3
2022-11-29 13:00:00+00:00,7.4,86,4.1,85.0,100,0.0,5.7
2022-11-29 14:00:00+00:00,7.5,87,2.1,71.0,100,0.0,6.1
2022-11-29 15:00:00+00:00,6.5,97,2.7,38.0,100,0.0,5.1
2022-11-29 16:00:00+00:00,6.9,92,2.7,7.0,100,0.0,5.5
2022-11-29 17:00:00+00:00,6.9,93,3.0,0.0,100,0.0,5.4
2022-11-29 18:00:00+00:00,6.2,100,4.5,0.0,100,0.0,4.6
2022-11-29 19:00:00+00:00,6.6,95,3.6,0.0,100,0.0,5.0
2022-11-29 20:00:00+00:00,6.6,95,3.2,0.0,87,0.0,5.1
2022-11-29 21:00:00+00:00,6.6,96,2.3,0.0,100,0.0,5.3
2022-11-29 22:00:00+00:00,6.6,97,3.0,0.0,100,0.0,5.2
2022-11-29 23:00:00+00:00,6.4,97,3.7,0.0,93,0.0,4.8
2022-11-30 00:00:00+00:00,6.2,97,1.1,0.0,94,0.0,5.0
2022-11-30 01:00:00+00:00,6.3,96,3.8,0.0,80,0.0,4.7
2022-11-30 02:00:00+00:00,6.0,97,3.6,0.0,87,0.0,4.4
2022-11-30 03:00:00+00:00,6.3,97,3.3,0.0,96,0.0,4.8
