time,temperature,humidity,windspeed,apparent_temperature,carbon_intensity_forecast,carbon_intensity_actual,carbon_intensity_index,cost_p_per_kwh
2024-04-02 23:00:00+00:00,,,,,69.0,66.0,low,10.479
2024-04-03 00:00:00+00:00,,,,,69.0,69.0,low,10.479
2024-04-03 01:00:00+00:00,,,,,71.0,68.5,low,10.069500000000001
2024-04-03 02:00:00+00:00,,,,,74.5,68.0,low,9.387
2024-04-03 03:00:00+00:00,,,,,72.5,64.5,low,8.693999999999999
2024-04-03 04:00:00+00:00,,,,,64.5,73.5,low,10.668
2024-04-03 05:00:00+00:00,,,,,68.5,104.5,low,14.469000000000001
2024-04-03 06:00:00+00:00,,,,,104.0,110.5,moderate,15.309000000000001
2024-04-03 07:00:00+00:00,,,,,107.0,103.5,low,16.579500000000003
2024-04-03 08:00:00+00:00,,,,,100.0,98.0,low,16.4325
2024-04-03 09:00:00+00:00,,,,,90.0,88.0,low,13.398
2024-04-03 10:00:00+00:00,,,,,89.0,79.5,low,12.400500000000001
2024-04-03 11:00:00+00:00,,,,,82.0,71.0,low,12.442499999999999
2024-04-03 12:00:00+00:00,,,,,75.0,59.5,low,10.3005
2024-04-03 13:00:00+00:00,,,,,61.5,65.0,low,9.135
2024-04-03 14:00:00+00:00,,,,,83.5,63.0,low,10.0695
2024-04-03 15:00:00+00:00,,,,,68.5,63.0,low,24.8955
2024-04-03 16:00:00+00:00,,,,,72.0,63.5,low,27.09
2024-04-03 17:00:00+00:00,,,,,70.0,75.0,low,30.240000000000002
2024-04-03 18:00:00+00:00,,,,,77.0,85.0,low,16.716
2024-04-03 19:00:00+00:00,,,,,88.5,79.0,low,14.783999999999999
2024-04-03 20:00:00+00:00,,,,,84.0,69.0,low,12.998999999999999
2024-04-03 21:00:00+00:00,,,,,72.0,60.0,low,10.3845
2024-04-03 22:00:00+00:00,,,,,81.5,56.5,low,8.904
2024-04-03 23:00:00+00:00,,,,,62.0,58.0,low,8.358
2024-04-04 00:00:00+00:00,,,,,61.0,63.0,low,8.883
2024-04-04 01:00:00+00:00,,,,,67.0,57.0,low,8.6835
2024-04-04 02:00:00+00:00,,,,,60.0,58.5,low,8.547
2024-04-04 03:00:00+00:00,,,,,59.5,64.5,low,8.526
2024-04-04 04:00:00+00:00,,,,,62.0,90.5,low,10.6995
2024-04-04 05:00:00+00:00,,,,,99.0,134.5,moderate,13.167
2024-04-04 06:00:00+00:00,,,,,144.5,149.5,moderate,14.364
2024-04-04 07:00:00+00:00,,,,,153.5,141.5,moderate,15.54
2024-04-04 08:00:00+00:00,,,,,135.0,132.0,moderate,15.508500000000002
2024-04-04 09:00:00+00:00,,,,,130.0,129.5,moderate,14.0595
2024-04-04 10:00:00+00:00,,,,,133.5,132.5,moderate,13.692
2024-04-04 11:00:00+00:00,,,,,137.0,129.0,moderate,12.768
2024-04-04 12:00:00+00:00,,,,,133.5,127.0,moderate,12.316500000000001
2024-04-04 13:00:00+00:00,,,,,134.0,133.5,moderate,11.76
2024-04-04 14:00:00+00:00,,,,,148.0,146.0,moderate,12.285
2024-04-04 15:00:00+00:00,,,,,159.5,156.5,moderate,25.808999999999997
2024-04-04 16:00:00+00:00,,,,,154.0,160.0,moderate,29.295
2024-04-04 17:00:00+00:00,,,,,155.0,164.5,moderate,29.893500000000003
2024-04-04 18:00:00+00:00,,,,,166.0,154.5,moderate,16.421999999999997
2024-04-04 19:00:00+00:00,,,,,151.5,129.5,moderate,13.8705
2024-04-04 20:00:00+00:00,,,,,112.5,91.0,low,13.566
2024-04-04 21:00:00+00:00,,,,,90.5,67.0,low,10.373999999999999
2024-04-04 22:00:00+00:00,,,,,75.5,59.5,low,12.495
2024-04-04 23:00:00+00:00,,,,,71.0,56.0,low,9.156
2024-04-05 00:00:00+00:00,,,,,59.5,54.5,low,6.17925
2024-04-05 01:00:00+00:00,,,,,55.5,48.0,low,3.885
2024-04-05 02:00:00+00:00,,,,,53.5,49.5,low,3.003
2024-04-05 03:00:00+00:00,,,,,50.0,47.5,low,3.822
2024-04-05 04:00:00+00:00,,,,,46.0,46.5,low,7.3185
2024-04-05 05:00:00+00:00,,,,,47.0,50.0,low,9.009
2024-04-05 06:00:00+00:00,,,,,44.5,50.5,low,13.986
2024-04-05 07:00:00+00:00,,,,,45.5,45.0,low,15.9705
2024-04-05 08:00:00+00:00,,,,,42.0,32.5,low,15.28275
2024-04-05 09:00:00+00:00,,,,,36.5,26.0,very low,12.684000000000001
2024-04-05 10:00:00+00:00,,,,,27.5,25.5,very low,11.4345
2024-04-05 11:00:00+00:00,,,,,26.0,22.0,very low,11.129999999999999
2024-04-05 12:00:00+00:00,,,,,22.0,22.0,very low,6.7515
2024-04-05 13:00:00+00:00,,,,,22.5,22.5,very low,3.591
2024-04-05 14:00:00+00:00,,,,,22.0,22.5,very low,3.465
2024-04-05 15:00:00+00:00,,,,,22.0,25.0,very low,19.551000000000002
2024-04-05 16:00:00+00:00,,,,,25.5,32.0,very low,23.0895
2024-04-05 17:00:00+00:00,,,,,34.5,35.0,low,26.166
2024-04-05 18:00:00+00:00,,,,,35.0,40.0,low,13.1985
2024-04-05 19:00:00+00:00,,,,,39.5,37.5,low,12.873000000000001
2024-04-05 20:00:00+00:00,,,,,41.0,42.5,low,11.4765
2024-04-05 21:00:00+00:00,,,,,44.0,45.5,low,9.4605
2024-04-05 22:00:00+00:00,,,,,50.0,47.5,low,5.80125
2024-04-05 23:00:00+00:00,,,,,50.5,47.5,low,4.305
2024-04-06 00:00:00+00:00,,,,,48.0,47.0,low,3.402
2024-04-06 01:00:00+00:00,,,,,48.5,46.0,low,2.856
2024-04-06 02:00:00+00:00,,,,,49.0,45.5,low,-0.14699999999999996
2024-04-06 03:00:00+00:00,,,,,52.5,46.0,low,-0.9344999999999999
2024-04-06 04:00:00+00:00,,,,,48.0,46.0,low,0.11549999999999999
2024-04-06 05:00:00+00:00,,,,,48.0,42.0,low,0.105
2024-04-06 06:00:00+00:00,,,,,49.0,37.0,low,-0.6405
2024-04-06 07:00:00+00:00,,,,,51.0,33.0,very low,1.6695
2024-04-06 08:00:00+00:00,,,,,32.5,31.0,very low,-0.00525
2024-04-06 09:00:00+00:00,,,,,32.5,31.5,very low,-0.07350000000000001
2024-04-06 10:00:00+00:00,,,,,32.0,27.5,very low,-1.4175
2024-04-06 11:00:00+00:00,,,,,29.0,27.0,very low,-2.0789999999999997
2024-04-06 12:00:00+00:00,,,,,28.5,25.0,very low,-3.5595
2024-04-06 13:00:00+00:00,,,,,26.5,28.0,very low,-3.5385
2024-04-06 14:00:00+00:00,,,,,29.0,29.0,very low,-0.945
2024-04-06 15:00:00+00:00,,,,,29.5,34.0,very low,11.969999999999999
2024-04-06 16:00:00+00:00,,,,,34.5,41.0,low,17.82375
2024-04-06 17:00:00+00:00,,,,,42.0,45.0,low,19.95
2024-04-06 18:00:00+00:00,,,,,45.5,46.5,low,7.2135
2024-04-06 19:00:00+00:00,,,,,47.5,45.5,low,5.795999999999999
2024-04-06 20:00:00+00:00,,,,,49.5,51.0,low,3.339
