time,temperature,humidity,windspeed,apparent_temperature,carbon_intensity_forecast,carbon_intensity_actual,carbon_intensity_index
2023-12-12 00:00:00+00:00,7.9,95,9.9,5.8,140.5,143.0,moderate
2023-12-12 01:00:00+00:00,8.2,95,10.8,6.0,145.5,129.5,moderate
2023-12-12 02:00:00+00:00,8.6,94,11.8,6.3,132.0,116.5,low
2023-12-12 03:00:00+00:00,9.4,94,13.8,7.0,119.5,114.0,low
2023-12-12 04:00:00+00:00,10.2,94,15.3,7.8,113.5,125.5,low
2023-12-12 05:00:00+00:00,10.4,93,14.1,8.2,129.5,156.0,moderate
2023-12-12 06:00:00+00:00,10.3,94,16.9,7.7,176.5,189.5,moderate
2023-12-12 07:00:00+00:00,10.0,94,16.1,7.4,201.5,209.5,high
2023-12-12 08:00:00+00:00,10.2,94,13.8,8.0,222.5,213.5,high
2023-12-12 09:00:00+00:00,10.5,94,14.3,8.3,221.5,216.0,high
2023-12-12 10:00:00+00:00,10.8,92,17.0,8.2,232.5,211.0,high
2023-12-12 11:00:00+00:00,11.2,89,17.1,8.6,220.5,215.0,high
2023-12-12 12:00:00+00:00,11.5,86,18.5,8.6,222.5,224.5,high
2023-12-12 13:00:00+00:00,10.1,91,14.7,7.7,233.0,234.0,high
2023-12-12 14:00:00+00:00,10.2,89,15.3,7.6,237.0,235.5,high
2023-12-12 15:00:00+00:00,9.6,90,14.4,7.0,238.5,244.5,high
2023-12-12 16:00:00+00:00,9.2,89,16.6,6.1,242.5,243.0,high
2023-12-12 17:00:00+00:00,8.6,91,14.7,5.8,240.0,241.5,high
2023-12-12 18:00:00+00:00,8.2,91,13.4,5.5,242.5,244.5,high
2023-12-12 19:00:00+00:00,7.9,92,14.4,4.9,245.0,234.5,high
2023-12-12 20:00:00+00:00,7.6,92,13.2,4.7,236.0,213.5,high
2023-12-12 21:00:00+00:00,7.3,92,13.6,4.4,220.0,190.0,moderate
2023-12-12 22:00:00+00:00,7.2,92,15.1,4.0,190.0,171.0,moderate
2023-12-12 23:00:00+00:00,7.5,92,13.8,4.5,166.0,149.0,moderate
2023-12-13 00:00:00+00:00,7.7,92,13.8,4.8,147.0,142.5,moderate
2023-12-13 01:00:00+00:00,7.7,93,15.9,4.6,138.0,137.5,moderate
2023-12-13 02:00:00+00:00,7.9,94,13.7,5.1,133.5,132.0,moderate
2023-12-13 03:00:00+00:00,7.7,96,13.8,5.0,129.0,131.0,moderate
2023-12-13 04:00:00+00:00,7.3,95,14.6,4.3,132.5,151.0,moderate
2023-12-13 05:00:00+00:00,7.0,96,16.3,3.7,155.5,175.5,moderate
2023-12-13 06:00:00+00:00,7.0,95,15.6,3.8,196.0,214.0,high
2023-12-13 07:00:00+00:00,6.9,95,15.0,3.7,215.0,220.5,high
2023-12-13 08:00:00+00:00,7.0,93,15.5,3.8,215.5,226.0,high
2023-12-13 09:00:00+00:00,7.2,92,15.5,4.0,222.5,224.5,high
2023-12-13 10:00:00+00:00,7.6,91,17.5,4.1,221.5,221.0,high
2023-12-13 11:00:00+00:00,7.5,88,20.3,3.4,221.5,217.0,high
2023-12-13 12:00:00+00:00,7.5,80,23.9,2.7,217.0,215.0,high
2023-12-13 13:00:00+00:00,7.5,86,22.2,3.1,213.0,212.0,high
2023-12-13 14:00:00+00:00,7.0,87,24.5,2.2,215.0,213.5,high
2023-12-13 15:00:00+00:00,7.0,88,26.9,1.9,219.0,215.0,high
2023-12-13 16:00:00+00:00,7.0,88,27.2,1.9,217.0,215.0,high
2023-12-13 17:00:00+00:00,6.8,87,25.8,1.8,215.0,216.5,high
2023-12-13 18:00:00+00:00,6.8,86,23.9,2.0,217.0,223.5,high
2023-12-13 19:00:00+00:00,6.6,85,22.3,2.0,217.0,214.0,high
2023-12-13 20:00:00+00:00,6.4,85,21.3,1.8,209.0,198.0,high
2023-12-13 21:00:00+00:00,6.3,84,20.9,1.8,177.0,174.0,moderate
2023-12-13 22:00:00+00:00,6.2,84,20.5,1.8,153.0,163.0,moderate
2023-12-13 23:00:00+00:00,6.1,84,19.0,1.8,138.5,154.5,moderate
2023-12-14 00:00:00+00:00,5.3,88,15.3,1.6,148.0,157.0,moderate
2023-12-14 01:00:00+00:00,4.5,94,13.0,1.1,144.0,150.0,moderate
2023-12-14 02:00:00+00:00,3.9,95,12.3,0.5,149.5,141.0,moderate
2023-12-14 03:00:00+00:00,3.2,95,10.1,-0.0,139.5,148.0,moderate
2023-12-14 04:00:00+00:00,2.4,96,8.5,-0.7,152.5,161.5,moderate
2023-12-14 05:00:00+00:00,1.6,97,6.0,-1.2,184.5,189.5,moderate
2023-12-14 06:00:00+00:00,2.3,96,8.0,-0.7,213.5,226.0,high
2023-12-14 07:00:00+00:00,2.7,94,8.7,-0.3,230.0,230.5,high
2023-12-14 08:00:00+00:00,3.0,93,8.5,0.0,227.5,230.0,high
2023-12-14 09:00:00+00:00,3.5,91,7.7,0.6,232.0,227.0,high
2023-12-14 10:00:00+00:00,4.3,89,8.5,1.4,222.5,223.0,high
2023-12-14 11:00:00+00:00,5.0,89,10.8,1.9,221.5,217.0,high
2023-12-14 12:00:00+00:00,5.4,89,12.6,2.1,214.0,220.0,high
2023-12-14 13:00:00+00:00,6.2,89,13.7,2.9,219.0,225.0,high
2023-12-14 14:00:00+00:00,6.7,91,10.8,4.0,227.0,225.0,high
2023-12-14 15:00:00+00:00,7.1,92,8.9,4.8,227.0,224.0,high
2023-12-14 16:00:00+00:00,7.3,94,7.5,5.3,228.0,223.5,high
2023-12-14 17:00:00+00:00,7.2,95,7.1,5.3,225.0,227.0,high
2023-12-14 18:00:00+00:00,6.9,96,7.6,4.9,226.5,236.0,high
2023-12-14 19:00:00+00:00,6.4,97,7.2,4.4,231.0,233.5,high
2023-12-14 20:00:00+00:00,5.3,98,7.7,2.9,228.0,222.5,high
2023-12-14 21:00:00+00:00,4.8,98,8.5,2.3,211.5,197.0,high
2023-12-14 22:00:00+00:00,4.5,97,7.9,1.9,188.0,159.0,moderate
2023-12-14 23:00:00+00:00,4.1,97,8.2,1.5,147.0,130.5,moderate
2023-12-15 00:00:00+00:00,3.9,98,8.5,1.2,134.5,135.5,moderate
2023-12-15 01:00:00+00:00,4.0,98,7.6,1.4,134.5,123.0,moderate
2023-12-15 02:00:00+00:00,5.2,95,6.2,3.0,125.0,119.5,low
2023-12-15 03:00:00+00:00,5.0,93,6.6,2.7,121.0,125.0,moderate
2023-12-15 04:00:00+00:00,4.0,94,6.8,1.4,125.5,138.0,moderate
2023-12-15 05:00:00+00:00,3.9,94,7.4,1.2,144.5,170.0,moderate
2023-12-15 06:00:00+00:00,4.0,94,8.1,1.3,185.5,202.5,high
2023-12-15 07:00:00+00:00,3.4,95,8.0,0.6,213.0,204.5,high
2023-12-15 08:00:00+00:00,2.8,96,8.0,-0.1,200.5,194.0,moderate
2023-12-15 09:00:00+00:00,3.5,96,9.8,0.5,194.0,205.5,high
2023-12-15 10:00:00+00:00,4.8,94,10.7,1.8,200.0,203.5,high
2023-12-15 11:00:00+00:00,6.1,92,8.7,3.6,199.0,190.5,moderate
2023-12-15 12:00:00+00:00,7.1,89,9.5,4.6,183.0,194.0,moderate
2023-12-15 13:00:00+00:00,8.1,81,9.5,5.5,178.0,182.0,moderate
2023-12-15 14:00:00+00:00,8.2,80,9.9,5.5,175.5,172.5,moderate
2023-12-15 15:00:00+00:00,7.3,83,8.2,4.8,184.5,172.5,moderate
2023-12-15 16:00:00+00:00,5.8,88,8.9,3.0,174.5,171.5,moderate
2023-12-15 17:00:00+00:00,5.9,88,11.0,2.9,171.5,167.5,moderate
2023-12-15 18:00:00+00:00,5.7,88,11.6,2.6,163.5,152.0,moderate
2023-12-15 19:00:00+00:00,5.6,88,12.1,2.4,140.0,131.5,moderate
2023-12-15 20:00:00+00:00,5.4,90,12.4,2.2,123.5,104.0,low
2023-12-15 21:00:00+00:00,5.4,91,13.2,2.0,101.0,83.5,low
2023-12-15 22:00:00+00:00,5.3,91,12.9,2.0,84.5,66.5,low
2023-12-15 23:00:00+00:00,5.3,90,12.7,2.0,63.5,64.5,low
2023-12-16 00:00:00+00:00,5.3,91,12.6,2.1,64.0,71.0,low
2023-12-16 01:00:00+00:00,5.5,92,14.2,2.0,68.5,68.0,low
2023-12-16 02:00:00+00:00,5.6,93,13.9,2.3,65.5,64.0,low
2023-12-16 03:00:00+00:00,6.0,94,13.7,2.8,62.0,61.5,low
2023-12-16 04:00:00+00:00,6.2,95,14.0,3.1,60.0,60.0,low
2023-12-16 05:00:00+00:00,6.4,96,14.2,3.3,61.0,67.0,low
2023-12-16 06:00:00+00:00,6.8,96,14.8,3.7,67.5,81.5,low
2023-12-16 07:00:00+00:00,7.6,98,16.0,4.5,80.0,86.5,low
2023-12-16 08:00:00+00:00,8.3,98,16.0,5.4,78.0,83.0,low
2023-12-16 09:00:00+00:00,8.7,98,15.0,6.1,79.0,73.5,low
2023-12-16 10:00:00+00:00,9.4,96,14.8,6.9,78.0,62.0,low
