time,temperature,humidity,windspeed,apparent_temperature,carbon_intensity_forecast,carbon_intensity_actual,carbon_intensity_index,cost_p_per_kwh
2024-04-02 23:00:00+00:00,10.5,87.0,24.9,6.4,69.0,66.0,low,10.479
2024-04-03 00:00:00+00:00,10.5,87.0,24.9,6.4,69.0,69.0,low,10.479
2024-04-03 01:00:00+00:00,10.2,88.0,19.5,6.9,71.0,68.5,low,10.069500000000001
2024-04-03 02:00:00+00:00,10.0,91.0,17.1,7.2,74.5,68.0,low,9.387
2024-04-03 03:00:00+00:00,10.1,92.0,16.2,7.4,72.5,64.5,low,8.693999999999999
2024-04-03 04:00:00+00:00,10.3,92.0,15.9,7.8,64.5,73.5,low,10.668
2024-04-03 05:00:00+00:00,10.5,91.0,16.2,7.9,68.5,104.5,low,14.469000000000001
2024-04-03 06:00:00+00:00,10.5,92.0,18.0,7.6,104.0,110.5,moderate,15.309000000000001
2024-04-03 07:00:00+00:00,11.2,91.0,19.1,8.3,107.0,103.5,low,16.579500000000003
2024-04-03 08:00:00+00:00,11.5,90.0,20.8,8.4,100.0,98.0,low,16.4325
2024-04-03 09:00:00+00:00,11.8,86.0,18.4,9.0,90.0,88.0,low,13.398
2024-04-03 10:00:00+00:00,12.0,82.0,28.2,7.7,89.0,79.5,low,12.400500000000001
2024-04-03 11:00:00+00:00,12.4,81.0,24.0,8.7,82.0,71.0,low,12.442499999999999
2024-04-03 12:00:00+00:00,14.2,69.0,31.5,9.2,75.0,59.5,low,10.3005
2024-04-03 13:00:00+00:00,13.7,69.0,29.6,8.9,61.5,65.0,low,9.135
2024-04-03 14:00:00+00:00,14.0,66.0,34.9,8.4,83.5,63.0,low,10.0695
2024-04-03 15:00:00+00:00,14.0,62.0,32.2,8.5,68.5,63.0,low,24.8955
2024-04-03 16:00:00+00:00,13.5,62.0,30.5,8.2,72.0,63.5,low,27.09
2024-04-03 17:00:00+00:00,13.3,63.0,25.5,8.7,70.0,75.0,low,30.240000000000002
2024-04-03 18:00:00+00:00,12.5,67.0,21.6,8.5,77.0,85.0,low,16.716
2024-04-03 19:00:00+00:00,11.1,76.0,18.4,7.7,88.5,79.0,low,14.783999999999999
