time,cost_p_per_kwh
2022-11-25 00:00:00+00:00,27.615
2022-11-25 00:30:00+00:00,31.017
2022-11-25 01:00:00+00:00,31.437
2022-11-25 01:30:00+00:00,27.741
2022-11-25 02:00:00+00:00,28.959
2022-11-25 02:30:00+00:00,28.35
2022-11-25 03:00:00+00:00,29.4
2022-11-25 03:30:00+00:00,28.896
2022-11-25 04:00:00+00:00,28.56
2022-11-25 04:30:00+00:00,30.24
2022-11-25 05:00:00+00:00,28.35
2022-11-25 05:30:00+00:00,30.387
2022-11-25 06:00:00+00:00,30.996
2022-11-25 06:30:00+00:00,31.5
2022-11-25 07:00:00+00:00,30.45
2022-11-25 07:30:00+00:00,35.79723
2022-11-25 08:00:00+00:00,35.79723
2022-11-25 08:30:00+00:00,35.79723
2022-11-25 09:00:00+00:00,35.79723
2022-11-25 09:30:00+00:00,33.18
2022-11-25 10:00:00+00:00,31.5
2022-11-25 10:30:00+00:00,30.24
2022-11-25 11:00:00+00:00,29.82
2022-11-25 11:30:00+00:00,29.82
2022-11-25 12:00:00+00:00,30.03
2022-11-25 12:30:00+00:00,29.82
2022-11-25 13:00:00+00:00,30.765
2022-11-25 13:30:00+00:00,29.799
2022-11-25 14:00:00+00:00,31.92
2022-11-25 14:30:00+00:00,31.92
2022-11-25 15:00:00+00:00,30.723
2022-11-25 15:30:00+00:00,31.857
2022-11-25 16:00:00+00:00,35.79723
2022-11-25 16:30:00+00:00,42.841785
2022-11-25 17:00:00+00:00,35.995785
2022-11-25 17:30:00+00:00,35.79723
2022-11-25 18:00:00+00:00,35.79723
2022-11-25 18:30:00+00:00,35.79723
2022-11-25 19:00:00+00:00,35.79723
2022-11-25 19:30:00+00:00,35.28
2022-11-25 20:00:00+00:00,35.79723
2022-11-25 20:30:00+00:00,30.576
2022-11-25 21:00:00+00:00,30.429
2022-11-25 21:30:00+00:00,28.224
2022-11-25 22:00:00+00:00,30.03
2022-11-25 22:30:00+00:00,28.077
2022-11-25 23:00:00+00:00,32.55
2022-11-25 23:30:00+00:00,28.35
2022-11-26 00:00:00+00:00,27.237
2022-11-26 00:30:00+00:00,28.14
2022-11-26 01:00:00+00:00,30.912
2022-11-26 01:30:00+00:00,27.93
2022-11-26 02:00:00+00:00,27.93
2022-11-26 02:30:00+00:00,25.536
2022-11-26 03:00:00+00:00,27.3
2022-11-26 03:30:00+00:00,27.3
2022-11-26 04:00:00+00:00,27.93
2022-11-26 04:30:00+00:00,27.51
2022-11-26 05:00:00+00:00,27.3
2022-11-26 05:30:00+00:00,27.3
2022-11-26 06:00:00+00:00,27.51
2022-11-26 06:30:00+00:00,30.24
2022-11-26 07:00:00+00:00,29.904
2022-11-26 07:30:00+00:00,32.298
2022-11-26 08:00:00+00:00,30.912
2022-11-26 08:30:00+00:00,31.752
2022-11-26 09:00:00+00:00,29.316
2022-11-26 09:30:00+00:00,31.584
2022-11-26 10:00:00+00:00,31.29
2022-11-26 10:30:00+00:00,28.77
2022-11-26 11:00:00+00:00,31.647
2022-11-26 11:30:00+00:00,31.647
2022-11-26 12:00:00+00:00,31.584
2022-11-26 12:30:00+00:00,31.29
2022-11-26 13:00:00+00:00,29.904
2022-11-26 13:30:00+00:00,30.912
2022-11-26 14:00:00+00:00,30.45
2022-11-26 14:30:00+00:00,29.568
2022-11-26 15:00:00+00:00,27.51
2022-11-26 15:30:00+00:00,29.841
2022-11-26 16:00:00+00:00,35.79723
2022-11-26 16:30:00+00:00,35.79723
2022-11-26 17:00:00+00:00,35.79723
2022-11-26 17:30:00+00:00,35.79723
2022-11-26 18:00:00+00:00,35.79723
2022-11-26 18:30:00+00:00,35.79723
2022-11-26 19:00:00+00:00,33.264
2022-11-26 19:30:00+00:00,32.76
2022-11-26 20:00:00+00:00,31.92
2022-11-26 20:30:00+00:00,28.182
2022-11-26 21:00:00+00:00,27.762
2022-11-26 21:30:00+00:00,31.248
2022-11-26 22:00:00+00:00,30.744
2022-11-26 22:30:00+00:00,26.04
2022-11-26 23:00:00+00:00,26.25
2022-11-26 23:30:00+00:00,21.0
2022-11-27 00:00:00+00:00,16.191
2022-11-27 00:30:00+00:00,25.2
2022-11-27 01:00:00+00:00,23.52
2022-11-27 01:30:00+00:00,16.191
2022-11-27 02:00:00+00:00,19.173
2022-11-27 02:30:00+00:00,17.577
2022-11-27 03:00:00+00:00,15.288
2022-11-27 03:30:00+00:00,18.06
2022-11-27 04:00:00+00:00,18.9
2022-11-27 04:30:00+00:00,19.53
2022-11-27 05:00:00+00:00,19.404
2022-11-27 05:30:00+00:00,22.239
2022-11-27 06:00:00+00:00,16.989
2022-11-27 06:30:00+00:00,21.0
2022-11-27 07:00:00+00:00,22.575
2022-11-27 07:30:00+00:00,28.875
2022-11-27 08:00:00+00:00,28.56
2022-11-27 08:30:00+00:00,32.718
2022-11-27 09:00:00+00:00,29.589
2022-11-27 09:30:00+00:00,35.091
2022-11-27 10:00:00+00:00,34.608
2022-11-27 10:30:00+00:00,34.2405
2022-11-27 11:00:00+00:00,33.306
2022-11-27 11:30:00+00:00,35.79723
2022-11-27 12:00:00+00:00,34.23
2022-11-27 12:30:00+00:00,35.49
