time,temperature_2m,relative_humidity_2m,wind_speed_10m,apparent_temperature
2023-12-12 00:00:00,7.9,95,9.9,5.8
2023-12-12 01:00:00,8.2,95,10.8,6.0
2023-12-12 02:00:00,8.6,94,11.8,6.3
2023-12-12 03:00:00,9.4,94,13.8,7.0
2023-12-12 04:00:00,10.2,94,15.3,7.8
2023-12-12 05:00:00,10.4,93,14.1,8.2
2023-12-12 06:00:00,10.3,94,16.9,7.7
2023-12-12 07:00:00,10.0,94,16.1,7.4
2023-12-12 08:00:00,10.2,94,13.8,8.0
2023-12-12 09:00:00,10.5,94,14.3,8.3
2023-12-12 10:00:00,10.8,92,17.0,8.2
2023-12-12 11:00:00,11.2,89,17.1,8.6
2023-12-12 12:00:00,11.5,86,18.5,8.6
2023-12-12 13:00:00,10.1,91,14.7,7.7
2023-12-12 14:00:00,10.2,89,15.3,7.6
2023-12-12 15:00:00,9.6,90,14.4,7.0
2023-12-12 16:00:00,9.2,89,16.6,6.1
2023-12-12 17:00:00,8.6,91,14.7,5.8
2023-12-12 18:00:00,8.2,91,13.4,5.5
2023-12-12 19:00:00,7.9,92,14.4,4.9
2023-12-12 20:00:00,7.6,92,13.2,4.7
2023-12-12 21:00:00,7.3,92,13.6,4.4
2023-12-12 22:00:00,7.2,92,15.1,4.0
2023-12-12 23:00:00,7.5,92,13.8,4.5
2023-12-13 00:00:00,7.7,92,13.8,4.8
2023-12-13 01:00:00,7.7,93,15.9,4.6
2023-12-13 02:00:00,7.9,94,13.7,5.1
2023-12-13 03:00:00,7.7,96,13.8,5.0
2023-12-13 04:00:00,7.3,95,14.6,4.3
2023-12-13 05:00:00,7.0,96,16.3,3.7
2023-12-13 06:00:00,7.0,95,15.6,3.8
2023-12-13 07:00:00,6.9,95,15.0,3.7
2023-12-13 08:00:00,7.0,93,15.5,3.8
2023-12-13 09:00:00,7.2,92,15.5,4.0
2023-12-13 10:00:00,7.6,91,17.5,4.1
2023-12-13 11:00:00,7.5,88,20.3,3.4
2023-12-13 12:00:00,7.5,80,23.9,2.7
2023-12-13 13:00:00,7.5,86,22.2,3.1
2023-12-13 14:00:00,7.0,87,24.5,2.2
2023-12-13 15:00:00,7.0,88,26.9,1.9
2023-12-13 16:00:00,7.0,88,27.2,1.9
2023-12-13 17:00:00,6.8,87,25.8,1.8
2023-12-13 18:00:00,6.8,86,23.9,2.0
2023-12-13 19:00:00,6.6,85,22.3,2.0
2023-12-13 20:00:00,6.4,85,21.3,1.8
2023-12-13 21:00:00,6.3,84,20.9,1.8
2023-12-13 22:00:00,6.2,84,20.5,1.8
2023-12-13 23:00:00,6.1,84,19.0,1.8
2023-12-14 00:00:00,5.3,88,15.3,1.6
2023-12-14 01:00:00,4.5,94,13.0,1.1
2023-12-14 02:00:00,3.9,95,12.3,0.5
2023-12-14 03:00:00,3.2,95,10.1,-0.0
2023-12-14 04:00:00,2.4,96,8.5,-0.7
2023-12-14 05:00:00,1.6,97,6.0,-1.2
2023-12-14 06:00:00,2.3,96,8.0,-0.7
2023-12-14 07:00:00,2.7,94,8.7,-0.3
2023-12-14 08:00:00,3.0,93,8.5,0.0
2023-12-14 09:00:00,3.5,91,7.7,0.6
2023-12-14 10:00:00,4.3,89,8.5,1.4
2023-12-14 11:00:00,5.0,89,10.8,1.9
2023-12-14 12:00:00,5.4,89,12.6,2.1
2023-12-14 13:00:00,6.2,89,13.7,2.9
2023-12-14 14:00:00,6.7,91,10.8,4.0
2023-12-14 15:00:00,7.1,92,8.9,4.8
2023-12-14 16:00:00,7.3,94,7.5,5.3
2023-12-14 17:00:00,7.2,95,7.1,5.3
2023-12-14 18:00:00,6.9,96,7.6,4.9
2023-12-14 19:00:00,6.4,97,7.2,4.4
2023-12-14 20:00:00,5.3,98,7.7,2.9
2023-12-14 21:00:00,4.8,98,8.5,2.3
2023-12-14 22:00:00,4.5,97,7.9,1.9
2023-12-14 23:00:00,4.1,97,8.2,1.5
2023-12-15 00:00:00,3.9,98,8.5,1.2
2023-12-15 01:00:00,4.0,98,7.6,1.4
2023-12-15 02:00:00,5.2,95,6.2,3.0
2023-12-15 03:00:00,5.0,93,6.6,2.7
2023-12-15 04:00:00,4.0,94,6.8,1.4
2023-12-15 05:00:00,3.9,94,7.4,1.2
2023-12-15 06:00:00,4.0,94,8.1,1.3
2023-12-15 07:00:00,3.4,95,8.0,0.6
2023-12-15 08:00:00,2.8,96,8.0,-0.1
2023-12-15 09:00:00,3.5,96,9.8,0.5
