,MAE_by_hour,MAE_by_month,MAE_by_weekday,MAE_by_season
0,1.7043714042946143,,3.668233283360799,
1,1.536858579847548,,3.6729048770770696,
2,1.400771519343058,,3.246759291908197,
3,1.439869054864954,,3.1013213653313487,
4,1.4370101109257452,,3.4548985577466196,
5,1.5874824460347494,1.4495847118206513,3.0776043137960265,
6,2.430366215176053,2.723862947225571,3.3059776520729063,
7,3.0950107277764216,3.95029165462781,,
8,3.5522219799183032,4.770986335123739,,
9,3.734089165440312,2.769346368908882,,
10,4.176529482382315,,,
11,4.804735644305194,,,
12,5.2156240378485785,,,
13,4.992112102508544,,,
14,5.303324737548828,,,
15,5.191653019940411,,,
16,5.255975966276946,,,
17,4.902027678313079,,,
18,4.421755834508826,,,
19,3.931145001164189,,,
20,3.3239027482491954,,,
21,2.7030007044474282,,,
22,2.423365609910753,,,
23,2.1479959480850783,,,
Autumn,,,,2.769346368908882
Spring,,,,1.4495847118206513
Summer,,,,3.826907674989839
Winter,,,,
